INE,Code Module,Note Controle,Note Examen
E001,INFO102,12,14
E001,INFO104,9,11
E001,INFO106,15,16
E002,INFO102,8,10
E002,INFO104,10,12
E002,INFO106,7,9
E003,INFO102,18,19
E003,INFO104,14,15
E003,INFO106,16,17
E004,INFO102,5,6
E004,INFO104,10,8
E004,INFO106,13,14
E005,INFO102,16,18
E005,INFO104,15,17
E005,INFO106,12,13
E006,INFO102,7,9
E006,INFO104,14,12
E006,INFO106,16,18
E007,INFO102,10,11
E007,INFO104,12,14
E007,INFO106,6,8
E008,INFO102,17,18
E008,INFO104,13,15
E008,INFO106,9,11
E009,INFO102,14,15
E009,INFO104,11,12
E009,INFO106,10,9
E010,INFO102,8,10
E010,INFO104,13,14
E010,INFO106,18,19
