INE,Code Module,Note Controle,Note Examen
E001,INFO101,12,14
E001,INFO103,9,11
E001,INFO105,15,16
E002,INFO101,8,10
E002,INFO103,10,12
E002,INFO105,7,9
E003,INFO101,18,19
E003,INFO103,14,15
E003,INFO105,16,17
E004,INFO101,5,6
E004,INFO103,10,8
E004,INFO105,13,14
E005,INFO101,16,18
E005,INFO103,15,17
E005,INFO105,12,13
E006,INFO101,7,9
E006,INFO103,14,12
E006,INFO105,16,18
E007,INFO101,10,11
E007,INFO103,12,14
E007,INFO105,6,8
E008,INFO101,17,18
E008,INFO103,13,15
E008,INFO105,9,11
E009,INFO101,14,15
E009,INFO103,11,12
E009,INFO105,10,9
E010,INFO101,8,10
E010,INFO103,13,14
E010,INFO105,18,19
