INE,Code Module,Note Controle,Note Examen
E011,GEST101,9,11
E011,GEST103,12,14
E011,GEST105,8,10
E012,GEST101,18,19
E012,GEST103,15,16
E012,GEST105,17,18
E013,GEST101,6,7
E013,GEST103,11,9
E013,GEST105,14,15
E014,GEST101,15,17
E014,GEST103,16,18
E014,GEST105,11,12
E015,GEST101,8,10
E015,GEST103,13,11
E015,GEST105,17,19
E016,GEST101,11,12
E016,GEST103,14,16
E016,GEST105,7,9
E017,GEST101,18,19
E017,GEST103,14,16
E017,GEST105,10,12
E018,GEST101,15,16
E018,GEST103,12,13
E018,GEST105,11,10
E019,GEST101,9,11
E019,GEST103,14,15
E019,GEST105,19,20
E020,GEST101,7,9
E020,GEST103,15,16
E020,GEST105,17,18
