INE,Code Module,Note Controle,Note Examen
E011,GEST102,9,11
E011,GEST104,12,14
E011,GEST106,8,10
E012,GEST102,18,19
E012,GEST104,15,16
E012,GEST106,17,18
E013,GEST102,6,7
E013,GEST104,11,9
E013,GEST106,14,15
E014,GEST102,15,17
E014,GEST104,16,18
E014,GEST106,11,12
E015,GEST102,8,10
E015,GEST104,13,11
E015,GEST106,17,19
E016,GEST102,11,12
E016,GEST104,14,16
E016,GEST106,7,9
E017,GEST102,18,19
E017,GEST104,14,16
E017,GEST106,10,12
E018,GEST102,15,16
E018,GEST104,12,13
E018,GEST106,11,10
E019,GEST102,9,11
E019,GEST104,14,15
E019,GEST106,19,20
E020,GEST102,7,9
E020,GEST104,15,16
E020,GEST106,17,18
